CTV3Code,CTV3PreferredTermDesc
7L042,Above elbow amputation
XE0J7,Above knee amputation
7L062,Above knee amputation (& Kirk)
TGyz2,Accidental decapitation NOS
Xa799,Amputated above elbow
Xa7GU,Amputated above knee
Xa7Gb,Amputated at ankle
Xa797,Amputated at forequarter
Xa7GS,Amputated at hindquarter
Xa7GT,Amputated at hip
Xa7GY,Amputated at knee
Xa7GX,Amputated at lower thigh
Xa7GW,Amputated at mid thigh
Xa7Gc,Amputated at midfoot
Xa798,Amputated at shoulder
Xa7GV,Amputated at upper thigh
Xa79B,Amputated below elbow
Xa7GZ,Amputated below knee
XaBYB,Amputated big toe
Xa79E,Amputated finger
Xa7Ga,Amputated foot
Xa7Gd,Amputated forefoot
Xa79C,Amputated hand
XaBYC,Amputated leg
XaBYD,Amputated little toe
Xa79A,Amputated through elbow
Xa79D,Amputated thumb
Xa7Ge,Amputated toe
Xa1tr,Amputation - action
Xa0pp,Amputation incision
7L083,Amputation lesser toe
7E000,Amputation of cervix
7L0F4,Amputation of duplicate thumb
Xa8S6,Amputation of finger
7L053,Amputation of finger NEC
X607s,Amputation of finger through carpometacarpal joint
X607y,Amputation of finger through distal interphalangeal joint
X607z,Amputation of finger through distal phalanx
X607t,Amputation of finger through metacarpal
X607u,Amputation of finger through metacarpophalangeal joint
X607x,Amputation of finger through middle phalanx
X607w,Amputation of finger through proximal interphalangeal joint
X607v,Amputation of finger through proximal phalanx
X6080,Amputation of finger tip
7L080,Amputation of hallux
7L05z,Amputation of hand NOS
7L050,Amputation of hand at wrist
7L05.,"Amputation of hand,thumb or finger"
7L06z,Amputation of leg NOS
XE07v,Amputation of lower limb (& disarticulation)
7C20.,Amputation of penis
7C20z,Amputation of penis NOS
7L052,Amputation of phalanx of finger
7L081,Amputation of phalanx of toe
7L0L2,Amputation of supernumerary toe
7L07.,Amputation of the foot
7L06.,Amputation of the lower limb
7L04.,Amputation of the upper limb
7L051,Amputation of thumb
X607k,Amputation of thumb and trapezium
X607l,Amputation of thumb through carpometacarpal joint
X607q,Amputation of thumb through distal phalanx
X607p,Amputation of thumb through interphalangeal joint
X607m,Amputation of thumb through metacarpal
X607n,Amputation of thumb through metacarpophalangeal joint
X607o,Amputation of thumb through proximal phalanx
X607r,Amputation of thumb tip
XE0JF,Amputation of toe
7L08.,Amputation of toe (& disarticulation)
XaKK7,Amputation of toe NOS
XaJhA,Amputation of toe and metatarsal
X20Jo,Amputation of tooth root
Xa9LR,Amputation stump
7L09.,Amputation stump procedure
7L063,Amputation through knee (& named variants)
XE0JD,Amputation through metatarsal bones
7L054,Amputation through phalanx of finger
X5044,Amputation-related dermatosis
XM1R6,Amputee - limb
X76p7,Amputee gait
7D170,Anterior and posterior colporrhaphy and amputation of cervix uteri
Xa8PJ,Anterior colporrhaphy and amputation of cervix uteri
75140,Apicectomy of tooth
XE0J4,Below elbow amputation
7L043,Below elbow amputation (& Krukenberg)
XE0J9,Below knee amputation
SP164,Bony prominence of amputation stump
SP162,Chronic infection of amputation stump
Xa1tu,Closure of amputation stump
PF214,Congenital amputation of upper limb
PF5E4,Constriction ring of upper limb with acrosyndactyly and amputation
PF6D3,Constriction ring syndrome of lower limb with amputation
XaE1L,Debridement of above knee amputation stump
XaE20,Debridement of amputation stump
XaE1K,Debridement of below knee amputation stump
X405i,Decapitation of the fetus
XaLsg,Delivery of rehabilitation for amputation of limb
Xa1tx,Disarticulation - action
Xa3r3,Disarticulation at wrist
7L061,Disarticulation hip (& [Boyd] or [Fitzmaurice Kelly])
XaM7m,Disarticulation of bone
Xa392,Disarticulation of finger joint
XE0J6,Disarticulation of the hip
XE0J3,Disarticulation of the shoulder
XE0JB,Disarticulation of the tarsal bones
XE0JC,Disarticulation of the tarsometatarsal joints
XM1JX,Disarticulation of toe
XaKK8,Disarticulation of toe NOS
7L041,Disarticulation shoulder (& [Larry] or [Lisfranc] or [Spence])
X70Dw,Disorder of amputation stump
7L094,Drainage of amputation stump
7L095,Excision neuroma amputation stump
7L091,Excision of lesion of amputation stump
X6082,Forefoot amputation
XE0J2,Forequarter amputation
7L040,Forequarter amputation (& [Berger] or [Littlewood])
XE2tf,H/O: limb amputation
14N4Z,H/O: limb amputation NOS
14N41,H/O: lower limb amputation
14N40,H/O: upper limb amputation
XE0J5,Hindquarter amputation
7L060,Hindquarter amputation (& [Ferre] or [Gordon-Taylor] or [Jaboulay] or [King] or [Sorrondo] or [Steelquist])
8D471,Hip disarticulation prosthesis
Ua1CA,Inspection of stump
PF5E3,Intra-uterine amputation (& upper limb)
PF6D2,Intrauterine amputation of lower limb
XE2w2,Intrauterine amputation of upper limb
SP16.,Late amputation stump complication
SC09.,Late effect of traumatic amputation
X607j,Limb amputation
14N4.,Limb: [H/O amputation] or [amputee]
Xa0ps,Long posterior flap incision
Ub1Qp,Lower limb amputee mobility practice
Xa4CT,Lower limb amputee transfer practice
Xa6oo,Lower thigh amputation
Xa6on,Mid thigh amputation
X6081,Midfoot amputation
8D476,Midfoot amputation prosthesis
SP163,Necrosis of amputation stump
SP161,Neuroma of amputation stump
685I.,No smear-amputation of cervix
XaBLW,O/E - Amputated left above knee
XaBLY,O/E - Amputated left below knee
XaBLc,O/E - Amputated left forefoot
XaBLU,O/E - Amputated left leg
XaBLj,O/E - Amputated left toe
XaBLV,O/E - Amputated right above knee
XaBLX,O/E - Amputated right below knee
XaBLb,O/E - Amputated right forefoot
XaBLT,O/E - Amputated right leg
XaBLi,O/E - Amputated right toe
XaXhG,O/E - amputated left midfoot
XaXfV,O/E - amputated right midfoot
Xa3rD,Other amputation stump revision
7L05y,Other specified amputation of hand
7C20y,Other specified amputation of penis
7L08y,Other specified amputation of toe
7D17y,Other specified repair of vaginal prolapse and amputation of cervix uteri
X6083,Partial amputation of hallux
X6085,Partial amputation of lesser toe
7C201,Partial amputation of penis
Ub1Qk,Pneumatic post-amputation mobility aid training
SP165,Poorly shaped amputation stump
XSAbP,Post-amputation rehabilitation
X76p8,Prosthetic limb gait
X20K0,Pulpotomy - devitalising
X20K1,Pulpotomy - non-vital disinfection
X20Jx,Pulpotomy - vital
X20Jz,Pulpotomy - vital - coronal
X20Jy,Pulpotomy - vital - partial
X20Jw,Pulpotomy of tooth
Xa0pt,Raquet incision
Ub1Qr,Re-education lower limb amputee free knee gait
Ub1Qq,Re-education lower limb amputee lock knee gait
XSAC0,Reamputation
7L090,Reamputation at higher level
7D17.,Repair of vaginal prolapse and amputation of cervix uteri
XE0HB,Repair of vaginal prolapse and amputation of cervix uteri NOS
7L0M0,Replantation of ear
7L0M1,Replantation of nose
7L093,Revision coverage of amputation stump
XA01Q,Ring avulsion injury of finger
S9332,"Ring avulsion injury, class 1"
S9333,"Ring avulsion injury, class 2"
S9334,"Ring avulsion injury, class 3"
S9335,"Ring avulsion injury, class 4"
XM0iB,Roehampton ADL for amputees
Xa3r2,Secondary closure of amputation stump
SC3D3,Sequelae of crushing injury and traumatic amputation of lower limb
SC3C3,Sequelae of crushing injury and traumatic amputation of upper limb
Xa0pr,Skew flap incision
Ua1V1,Storing amputated body part (InPS+developmental)
Xa3r0,Supramalleolar ankle amputation
XM1JW,Syme through ankle amputation
Xa0pq,Symmetrical flap incision
7L072,Tarsometatarsal amputation (& Lisfranc)
Xa9nc,Terminalisation - action
Xa1ro,Terminalisation of finger
X6084,Terminalisation of hallux
X6086,Terminalisation of lesser toe
