wave	outcome	exposure	category	hr_conf	hr_conf_imd	hr_conf_resid	hr_conf_comorb	expcat
1	"COVID-19 death"	"Learning disability register"	"No"	""	""	""	""	0
1	"COVID-19 death"	"Learning disability register"	"Yes"	". (., .)"	". (., .)"	". (., .)"	". (., .)"	1
1	"COVID-19 death"	"LDR Severe vs mild"	"No"	""	""	""	""	0
1	"COVID-19 death"	"LDR Severe vs mild"	"LDR, mild"	".99 (.99, .99)"	"1 (1, 1)"	".99 (.99, .99)"	"1.52 (1.52, 1.52)"	1
1	"COVID-19 death"	"LDR Severe vs mild"	"LDR, profound"	". (., .)"	". (., .)"	". (., .)"	". (., .)"	2
1	"COVID-19 death"	"LDR by residential care"	"No"	""	""	""	""	0
1	"COVID-19 death"	"LDR by residential care"	"LDR, community"	". (., .)"	". (., .)"	". (., .)"	". (., .)"	1
1	"COVID-19 death"	"LDR by residential care"	"LDR, residential care"	".55 (.55, .55)"	".57 (.57, .57)"	".63 (.63, .63)"	"1 (1, 1)"	2
1	"COVID-19 death"	"Down's syndrome"	"No"	""	""	""	""	0
1	"COVID-19 death"	"Down's syndrome"	"Yes"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	1
1	"COVID-19 death"	"Cerebral Palsy"	"No"	""	""	""	""	0
1	"COVID-19 death"	"Cerebral Palsy"	"Yes"	"672.17 (80.13, 5638.63)"	"671.3 (83.88, 5372.21)"	"659.94 (88.81, 4903.69)"	"761.75 (82.93, 6997)"	1
1	"COVID-19 death"	"Combined grouping"	"No"	""	""	""	""	0
1	"COVID-19 death"	"Combined grouping"	"DS but not LDR"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	1
1	"COVID-19 death"	"Combined grouping"	"DS and LDR"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	2
1	"COVID-19 death"	"Combined grouping"	"CP but not LDR"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	3
1	"COVID-19 death"	"Combined grouping"	"CP and LDR"	"8.52e+13 (8.52e+13, 8.52e+13)"	"9.16e+13 (9.16e+13, 9.16e+13)"	"4.32e+13 (4.32e+13, 4.32e+13)"	"2.11e+14 (2.11e+14, 2.11e+14)"	4
1	"COVID-19 death"	"Combined grouping"	"LDR with no DS or CP"	"7.43e+12 (1.89e+11, 2.92e+14)"	"7.81e+12 (2.03e+11, 3.01e+14)"	"4.27e+12 (1.42e+11, 1.28e+14)"	"2.01e+13 (5.77e+11, 7.01e+14)"	5
1	"COVID-19 admission"	"Learning disability register"	"No"	""	""	""	""	0
1	"COVID-19 admission"	"Learning disability register"	"Yes"	"5.1 (1.86, 13.95)"	"5.03 (1.84, 13.76)"	"5.1 (1.87, 13.95)"	"2.96 (.92, 9.51)"	1
1	"COVID-19 admission"	"LDR Severe vs mild"	"No"	""	""	""	""	0
1	"COVID-19 admission"	"LDR Severe vs mild"	"LDR, mild"	"3.08 (.76, 12.53)"	"3.04 (.75, 12.35)"	"3.09 (.76, 12.56)"	"1.62 (.34, 7.69)"	1
1	"COVID-19 admission"	"LDR Severe vs mild"	"LDR, profound"	"14.82 (3.6, 61.06)"	"14.67 (3.56, 60.43)"	"14.7 (3.57, 60.61)"	"12.09 (2.8, 52.17)"	2
1	"COVID-19 admission"	"LDR by residential care"	"No"	""	""	""	""	0
1	"COVID-19 admission"	"LDR by residential care"	"LDR, community"	"5.59 (2.09, 14.98)"	"5.51 (2.06, 14.78)"	"5.81 (2.16, 15.59)"	"3.15 (.98, 10.15)"	1
1	"COVID-19 admission"	"LDR by residential care"	"LDR, residential care"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	"0 (0, 0)"	2
1	"COVID-19 admission"	"Down's syndrome"	"No"	""	""	""	""	0
1	"COVID-19 admission"	"Down's syndrome"	"Yes"	"6.83 (1.69, 27.63)"	"6.81 (1.68, 27.53)"	"6.88 (1.7, 27.8)"	"2.25 (.38, 13.18)"	1
1	"COVID-19 admission"	"Cerebral Palsy"	"No"	""	""	""	""	0
1	"COVID-19 admission"	"Cerebral Palsy"	"Yes"	"10.69 (4.24, 26.96)"	"10.65 (4.22, 26.87)"	"10.8 (4.25, 27.44)"	"8.82 (3.4, 22.83)"	1
1	"COVID-19 admission"	"Combined grouping"	"No"	""	""	""	""	0
1	"COVID-19 admission"	"Combined grouping"	"DS but not LDR"	"4.8 (.67, 34.36)"	"4.79 (.67, 34.27)"	"4.84 (.68, 34.62)"	"2.31 (.25, 21.49)"	1
1	"COVID-19 admission"	"Combined grouping"	"DS and LDR"	"12.6 (1.77, 89.55)"	"12.54 (1.77, 89.08)"	"12.67 (1.78, 90)"	"2.39 (.2, 28.69)"	2
1	"COVID-19 admission"	"Combined grouping"	"CP but not LDR"	"9.15 (3.18, 26.37)"	"9.12 (3.16, 26.29)"	"9.24 (3.18, 26.85)"	"7.88 (2.87, 21.65)"	3
