age	male	risk_cons	risk_cons_uci	risk_cons_lci	risk_respiratory	risk_respiratory_uci	risk_respiratory_lci	risk_cf	risk_cf_uci	risk_cf_lci	risk_asthmacat_2	risk_asthmacat_2_uci	risk_asthmacat_2_lci	risk_asthmacat_3	risk_asthmacat_3_uci	risk_asthmacat_3_lci	risk_cardiac	risk_cardiac_uci	risk_cardiac_lci	risk_diabcat_2	risk_diabcat_2_uci	risk_diabcat_2_lci	risk_diabcat_3	risk_diabcat_3_uci	risk_diabcat_3_lci	risk_diabcat_4	risk_diabcat_4_uci	risk_diabcat_4_lci	risk_hypertension	risk_hypertension_uci	risk_hypertension_lci	risk_af	risk_af_uci	risk_af_lci	risk_dvt_pe	risk_dvt_pe_uci	risk_dvt_pe_lci	risk_pad	risk_pad_uci	risk_pad_lci	risk_cancerExhaem_2	risk_cancerExhaem_2_uci	risk_cancerExhaem_2_lci	risk_cancerExhaem_3	risk_cancerExhaem_3_uci	risk_cancerExhaem_3_lci	risk_cancerExhaem_4	risk_cancerExhaem_4_uci	risk_cancerExhaem_4_lci	risk_cancerHaem_2	risk_cancerHaem_2_uci	risk_cancerHaem_2_lci	risk_cancerHaem_3	risk_cancerHaem_3_uci	risk_cancerHaem_3_lci	risk_cancerHaem_4	risk_cancerHaem_4_uci	risk_cancerHaem_4_lci	risk_liver	risk_liver_uci	risk_liver_lci	risk_stroke	risk_stroke_uci	risk_stroke_lci	risk_dementia	risk_dementia_uci	risk_dementia_lci	risk_tia	risk_tia_uci	risk_tia_lci	risk_neuro	risk_neuro_uci	risk_neuro_lci	risk_kidneyfn_2	risk_kidneyfn_2_uci	risk_kidneyfn_2_lci	risk_kidneyfn_3	risk_kidneyfn_3_uci	risk_kidneyfn_3_lci	risk_transplant	risk_transplant_uci	risk_transplant_lci	risk_dialysis	risk_dialysis_uci	risk_dialysis_lci	risk_spleen	risk_spleen_uci	risk_spleen_lci	risk_autoimmune	risk_autoimmune_uci	risk_autoimmune_lci	risk_ibd	risk_ibd_uci	risk_ibd_lci	risk_immunosuppression	risk_immunosuppression_uci	risk_immunosuppression_lci	risk_smi	risk_smi_uci	risk_smi_lci	risk_ldr	risk_ldr_uci	risk_ldr_lci	risk_ds	risk_ds_uci	risk_ds_lci	p50	p70	p80	p90
18	0	.0000152	.0001057	2.21e-06	.0000407	.0003276	5.07e-06	1.84e-14		0	.0000368	.0002608	5.19e-06	.000068	.0005608	8.23e-06	.0000241	.0001981	2.92e-06	.0000285	.0002287	3.52e-06	.0000648	.0005059	8.29e-06	.0000479	.0004174	5.48e-06	.0000242	.0001819	3.22e-06	1.35e-14		0	.0000302	.0002439	3.76e-06	.0000752	.0008878	6.38e-06	.0001665	.0015948	.0000173	.0001352	.0011119	.0000165	.0000566	.0005123	6.26e-06	.0012818	.0145313	.0001124	.0001875	.0029556	.0000119	1.99e-14		0	.0000906	.0007803	.0000106	8.13e-06	.0001073	5.96e-07	1.03e-14		0	.0000419	.0005041	3.52e-06	.0001396	.0010741	.0000181	.0001156	.0009462	.0000141	.0000604	.0012215	2.98e-06	5.87e-06	.0001314	2.38e-07	.0000389	.000968	1.55e-06	.0000597	.0009597	3.70e-06	.000015	.0001218	1.85e-06	9.95e-06	.000154	6.56e-07	.0000689	.000835	5.66e-06	.0000425	.0003485	5.19e-06	.0000652	.0005106	8.29e-06	.0001003	.0011073	9.06e-06	.000031	.0000601	.000091	.000162
19	0	.0000168	.0001095	2.56e-06	.0000449	.0003411	5.90e-06	2.03e-14		0	.0000406	.0002703	6.08e-06	.000075	.0005838	9.66e-06	.0000266	.0002063	3.40e-06	.0000314	.0002379	4.17e-06	.0000714	.0005256	9.72e-06	.0000528	.0004349	6.44e-06	.0000267	.0001888	3.76e-06	1.49e-14		0	.0000333	.0002536	4.35e-06	.0000829	.0009312	7.39e-06	.0001836	.0016649	.0000202	.000149	.0011571	.0000192	.0000624	.0005343	7.27e-06	.0014134	.0152326	.0001304	.0002067	.0031221	.0000136	2.20e-14		0	.0001	.0008131	.0000123	8.96e-06	.0001128	7.15e-07	1.13e-14		0	.0000463	.0005293	4.05e-06	.000154	.0011149	.0000213	.0001275	.0009846	.0000165	.0000666	.0012917	3.46e-06	6.47e-06	.0001394	2.98e-07	.0000429	.0010313	1.79e-06	.0000658	.0010132	4.29e-06	.0000165	.0001267	2.15e-06	.000011	.0001624	7.15e-07	.000076	.0008764	6.62e-06	.0000469	.0003626	6.08e-06	.0000719	.0005313	9.72e-06	.0001106	.0011595	.0000106	.000031	.0000601	.000091	.000162
20	0	.0000185	.0001138	2.98e-06	.0000495	.0003566	6.85e-06	2.23e-14		0	.0000448	.0002813	7.15e-06	.0000827	.0006102	.0000112	.0000293	.0002157	3.99e-06	.0000346	.0002484	4.83e-06	.0000787	.0005482	.0000113	.0000583	.000455	7.45e-06	.0000294	.0001969	4.41e-06	1.64e-14		0	.0000367	.0002648	5.13e-06	.0000915	.0009806	8.52e-06	.0002025	.001745	.0000235	.0001644	.0012091	.0000224	.0000688	.0005595	8.46e-06	.0015586	.016028	.0001506	.000228	.0033097	.0000157	2.42e-14		0	.0001102	.0008507	.0000143	9.88e-06	.0001191	8.34e-07	1.25e-14		0	.000051	.000558	4.65e-06	.0001698	.0011619	.0000248	.0001406	.0010287	.0000192	.0000735	.0013704	3.93e-06	7.14e-06	.0001484	3.58e-07	.0000473	.0011024	2.03e-06	.0000726	.0010735	4.89e-06	.0000182	.0001323	2.50e-06	.0000121	.0001718	8.34e-07	.0000838	.0009232	7.63e-06	.0000517	.0003787	7.03e-06	.0000792	.000555	.0000113	.000122	.0012187	.0000122	.000031	.0000601	.000091	.000162
21	0	.0000204	.0001189	3.52e-06	.0000545	.0003744	7.93e-06	2.46e-14		0	.0000494	.0002941	8.29e-06	.0000912	.0006407	.000013	.0000323	.0002266	4.59e-06	.0000382	.0002605	5.60e-06	.0000868	.0005744	.0000131	.0000642	.0004781	8.64e-06	.0000324	.0002061	5.13e-06	1.81e-14		0	.0000405	.0002778	5.90e-06	.0001009	.0010366	9.83e-06	.0002233	.0018367	.0000271	.0001812	.0012689	.0000259	.0000759	.0005884	9.78e-06	.0017186	.0169325	.0001732	.0002514	.0035218	.0000179	2.68e-14		0	.0001216	.0008938	.0000165	.0000109	.0001262	9.54e-07	1.38e-14		0	.0000563	.0005906	5.36e-06	.0001873	.0012164	.0000288	.000155	.0010794	.0000222	.000081	.0014588	4.47e-06	7.87e-06	.0001584	4.17e-07	.0000522	.0011823	2.32e-06	.00008	.0011417	5.60e-06	.0000201	.0001388	2.92e-06	.0000133	.0001825	9.54e-07	.0000924	.0009765	8.76e-06	.000057	.0003974	8.17e-06	.0000874	.0005825	.0000131	.0001345	.0012862	.0000141	.000031	.0000601	.000091	.000162
22	0	.0000225	.0001248	4.05e-06	.0000602	.000395	9.18e-06	2.72e-14		0	.0000545	.000309	9.60e-06	.0001006	.0006758	.000015	.0000356	.0002392	5.30e-06	.0000421	.0002746	6.44e-06	.0000958	.0006047	.0000151	.0000708	.0005047	9.95e-06	.0000358	.0002168	5.90e-06	2.00e-14		0	.0000447	.0002927	6.79e-06	.0001112	.0011005	.0000112	.0002462	.0019418	.0000312	.0001999	.001338	.0000299	.0000837	.0006216	.0000113	.0018951	.0179635	.0001985	.0002772	.0037621	.0000204	2.94e-14		0	.000134	.0009436	.000019	.000012	.0001343	1.07e-06	1.52e-14		0	.000062	.0006276	6.14e-06	.0002065	.0012795	.0000333	.000171	.0011381	.0000257	.0000894	.0015585	5.13e-06	8.68e-06	.0001697	4.17e-07	.0000575	.0012724	2.62e-06	.0000883	.0012189	6.38e-06	.0000222	.0001463	3.34e-06	.0000147	.0001946	1.13e-06	.0001019	.0010371	.00001	.0000629	.0004189	9.42e-06	.0000964	.0006143	.0000151	.0001484	.0013633	.0000162	.000031	.0000601	.000091	.000162
23	0	.0000248	.0001317	4.65e-06	.0000663	.0004189	.0000105	3.00e-14		0	.0000601	.0003264	.000011	.0001109	.0007165	.0000172	.0000393	.0002538	6.08e-06	.0000464	.0002909	7.39e-06	.0001056	.0006399	.0000174	.0000781	.0005355	.0000114	.0000394	.0002293	6.79e-06	2.20e-14		0	.0000493	.00031	7.81e-06	.0001226	.0011736	.0000128	.0002715	.0020628	.0000357	.0002204	.0014181	.0000342	.0000923	.0006599	.0000129	.0020896	.0191421	.0002264	.0003057	.0040351	.0000231	3.24e-14		0	.0001478	.0010011	.0000218	.0000133	.0001436	1.25e-06	1.68e-14		0	.0000684	.00067	6.97e-06	.0002277	.0013528	.0000383	.0001885	.001206	.0000294	.0000985	.0016713	5.78e-06	9.57e-06	.0001824	4.77e-07	.0000634	.0013742	2.92e-06	.0000973	.0013065	7.27e-06	.0000245	.000155	3.87e-06	.0000162	.0002084	1.25e-06	.0001124	.0011064	.0000114	.0000693	.0004438	.0000108	.0001063	.0006513	.0000173	.0001636	.0014515	.0000184	.000031	.0000601	.000091	.000162
24	0	.0000273	.0001399	5.30e-06	.0000731	.0004468	.000012	3.31e-14		0	.0000662	.0003468	.0000126	.0001223	.0007639	.0000196	.0000433	.0002708	6.91e-06	.0000512	.0003099	8.46e-06	.0001164	.000681	.0000199	.0000861	.0005712	.000013	.0000435	.000244	7.75e-06	2.43e-14		0	.0000543	.0003302	8.94e-06	.0001352	.0012574	.0000145	.0002994	.0022026	.0000407	.000243	.0015113	.000039	.0001017	.0007042	.0000147	.0023038	.0204939	.0002569	.0003371	.004346	.0000261	3.59e-14		0	.000163	.0010679	.0000249	.0000146	.0001542	1.37e-06	1.85e-14		0	.0000754	.0007186	7.93e-06	.0002511	.0014386	.0000438	.0002079	.0012852	.0000336	.0001086	.001799	6.56e-06	.0000106	.0001969	5.36e-07	.00007	.0014895	3.28e-06	.0001073	.0014063	8.17e-06	.000027	.0001651	4.41e-06	.0000179	.0002241	1.43e-06	.0001239	.0011859	.0000129	.0000764	.0004728	.0000123	.0001172	.0006944	.0000198	.0001804	.0015529	.0000209	.000031	.0000601	.000091	.000162
25	0	.0000301	.0001495	6.08e-06	.0000806	.0004793	.0000136	3.64e-14		0	.000073	.0003709	.0000144	.0001348	.0008191	.0000222	.0000477	.0002906	7.87e-06	.0000564	.000332	9.60e-06	.0001284	.000729	.0000226	.000095	.0006127	.0000147	.0000479	.0002611	8.82e-06	2.68e-14		0	.0000599	.0003537	.0000101	.0001491	.0013537	.0000164	.00033	.0023645	.000046	.0002679	.0016199	.0000443	.0001121	.0007557	.0000166	.0025395	.0220462	.00029	.0003716	.0047005	.0000293	3.95e-14		0	.0001797	.0011455	.0000282	.0000161	.0001663	1.55e-06	2.04e-14		0	.0000832	.0007744	8.94e-06	.0002768	.0015388	.0000498	.0002292	.0013774	.0000381	.0001198	.0019442	7.39e-06	.0000116	.0002133	6.56e-07	.0000771	.0016201	3.70e-06	.0001183	.0015201	9.18e-06	.0000297	.0001769	5.01e-06	.0000197	.0002419	1.61e-06	.0001366	.001277	.0000146	.0000842	.0005067	.000014	.0001292	.0007448	.0000224	.0001989	.0016697	.0000237	.000031	.0000601	.000091	.000162
26	0	.0000332	.0001608	6.85e-06	.0000889	.0005171	.0000153	4.02e-14		0	.0000805	.0003991	.0000162	.0001486	.0008833	.000025	.0000526	.0003136	8.82e-06	.0000622	.0003578	.0000108	.0001415	.000785	.0000255	.0001047	.0006608	.0000166	.0000528	.000281	9.95e-06	2.95e-14		0	.000066	.0003811	.0000114	.0001643	.0014643	.0000184	.0003637	.0025513	.0000518	.0002953	.0017461	.0000499	.0001236	.0008153	.0000187	.0027984	.0238264	.0003256	.0004096	.0051045	.0000328	4.35e-14		0	.000198	.0012357	.0000317	.0000178	.0001802	1.73e-06	2.25e-14		0	.0000916	.0008385	.00001	.0003051	.0016559	.0000561	.0002526	.0014847	.0000429	.000132	.0021089	8.23e-06	.0000128	.0002319	7.15e-07	.000085	.0017679	4.11e-06	.0001304	.0016497	.0000103	.0000328	.0001907	5.66e-06	.0000217	.0002623	1.79e-06	.0001506	.0013816	.0000164	.0000929	.000546	.0000158	.0001424	.0008035	.0000252	.0002192	.0018041	.0000266	.000031	.0000601	.000091	.000162
27	0	.0000366	.0001739	7.69e-06	.0000979	.0005609	.0000171	4.43e-14		0	.0000887	.0004321	.0000182	.0001637	.0009577	.000028	.000058	.0003402	9.89e-06	.0000685	.0003877	.0000121	.0001559	.00085	.0000286	.0001153	.0007164	.0000185	.0000582	.0003043	.0000111	3.25e-14		0	.0000727	.0004129	.0000128	.000181	.0015908	.0000206	.0004007	.0027665	.000058	.0003253	.0018923	.0000559	.0001362	.000884	.000021	.0030825	.025861	.0003637	.0004512	.0055636	.0000365	4.80e-14		0	.0002181	.0013399	.0000355	.0000196	.000196	1.97e-06	2.48e-14		0	.000101	.0009117	.0000112	.0003361	.001792	.000063	.0002782	.001609	.0000481	.0001454	.0022955	9.18e-06	.0000141	.000253	7.75e-07	.0000936	.001935	4.53e-06	.0001436	.0017971	.0000114	.0000361	.0002066	6.32e-06	.0000239	.0002855	2.03e-06	.0001659	.0015013	.0000183	.0001023	.0005916	.0000177	.0001568	.0008717	.0000282	.0002415	.0019581	.0000297	.000031	.0000601	.000091	.000162
