variable	order	select	poscoef	select_geog1	poscoef_geog1	select_geog2	poscoef_geog2	select_geog4	poscoef_geog4	select_geog5	poscoef_geog5	select_geog6	poscoef_geog6	select_geog7	poscoef_geog7	select_time	poscoef_time	select_foi	poscoef_foi	select_ae	poscoef_ae	select_susp	poscoef_susp
"0bn.af"	85	0		0		1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1
"0bn.cardiac"	58	0		1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1
"0bn.cf"	86	0		0		1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
"0bn.dementia"	12	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1
"0bn.dialysis"	87	0		0		1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1
"0bn.dvt_pe"	59	0		1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1
"0bn.fracture"	60	0		1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
"0bn.ld"	127	0		0		0		0		1	1	0	1	1	1	0	1	1	1	0	1	1	1
"0bn.liver"	18	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1
"0bn.male#1bn.af"	41	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1
"0bn.male#1bn.autoimmune"	165	0		0		0		0		0		0		0		1	1	0	1	0	1	0	1
"0bn.male#1bn.bpcat_nomiss"	150	0		0		0		0		0		0		1	1	0	1	0	1	0	1	0	1
"0bn.male#1bn.cardiac"	40	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1
"0bn.male#1bn.cf"	128	0		0		0		0		1	1	0	1	1	1	0	1	0	1	0	1	0	1
"0bn.male#1bn.dementia"	99	0		0		0		1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
"0bn.male#1bn.dialysis"	53	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1
"0bn.male#1bn.dvt_pe"	100	0		0		0		1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1
"0bn.male#1bn.fracture"	143	0		0		0		0		0		1	1	0	1	1	1	0	1	0	1	0	1
"0bn.male#1bn.hiv"	129	0		0		0		0		1	1	0	1	0	1	0	1	0	1	0	1	0	1
"0bn.male#1bn.hypertension"	151	0		0		0		0		0		0		1	1	0	1	0	1	0	1	0	1
"0bn.male#1bn.ibd"	152	0		0		0		0		0		0		1	1	0	1	1	1	0	1	1	1
"0bn.male#1bn.ld"	101	0		0		0		1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
"0bn.male#1bn.liver"	52	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1
"0bn.male#1bn.neuro"	61	0		1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1
"0bn.male#1bn.pad"	130	0		0		0		0		1	1	1	1	1	1	1	1	0	1	0	1	0	1
"0bn.male#1bn.respiratory"	46	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
"0bn.male#1bn.smi"	174	0		0		0		0		0		0		0		0		1	1	0	1	1	1
"0bn.male#1bn.stroke"	102	0		0		0		1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
"0bn.male#1bn.suppression"	166	0		0		0		0		0		0		0		1	1	0	1	0	1	0	1
"0bn.male#1bn.transplant"	103	0		0		0		1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1
"0bn.male#2bn.asthmacat"	45	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1
"0bn.male#2bn.cancerExhaem"	47	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"0bn.male#2bn.cancerHaem"	50	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1
"0bn.male#2bn.diabcat"	153	0		0		0		0		0		0		1	1	0	1	0	1	1	1	0	1
"0bn.male#2bn.kidneyfn"	104	0		0		0		1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1
"0bn.male#2bn.smoke_nomiss"	167	0		0		0		0		0		0		0		1	1	0	1	0	1	0	1
"0bn.male#3bn.asthmacat"	175	0		0		0		0		0		0		0		0		1	1	0	1	0	1
"0bn.male#3bn.bpcat_nomiss"	154	0		0		0		0		0		0		1	1	0	1	0	1	0	1	0	1
"0bn.male#3bn.cancerExhaem"	131	0		0		0		0		1	1	1	1	0	1	0	1	0	1	0	1	0	1
"0bn.male#3bn.cancerHaem"	105	0		0		0		1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1
"0bn.male#3bn.diabcat"	106	0		0		0		1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1
"0bn.male#3bn.ethnicity_8"	168	0		0		0		0		0		0		0		1	1	0	1	0	1	0	1
"0bn.male#3bn.kidneyfn"	54	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1
"0bn.male#4bn.cancerHaem"	155	0		0		0		0		0		0		1	1	0	1	0	1	0	1	0	1
