term	coef	varexpress
"base_surv28"	.67090857	""
"base_surv100"	.67090857	""
"agec"	2.0132753	"agec"
"1bn.male"	.76033784	"(male==1)"
"0.rural"	.41566422	"(rural==0)"
"1bn.imd"	-.24201732	"(imd==1)"
"5.imd"	.26878801	"(imd==5)"
"1.ethnicity_8"	-.54606154	"(ethnicity_8==1)"
"1bn.obesecat"	.409465	"(obesecat==1)"
"2.obesecat"	-.19576366	"(obesecat==2)"
"1bn.diabcat"	-.38694475	"(diabcat==1)"
"4.diabcat"	.23280192	"(diabcat==4)"
"0bn.stroke"	-.33552042	"(stroke==0)"
"0bn.dementia"	-1.096248	"(dementia==0)"
"0bn.neuro"	-1.949145	"(neuro==0)"
"3bn.asthmacat"	.2798557	"(asthmacat==3)"
"0bn.respiratory"	-1.0288452	"(respiratory==0)"
"2bn.cancerExhaem"	.56798334	"(cancerExhaem==2)"
"1bn.cancerHaem"	-.84748981	"(cancerHaem==1)"
"0bn.liver"	-1.3819926	"(liver==0)"
"1bn.kidneyfn"	-.35249371	"(kidneyfn==1)"
"3.kidneyfn"	2.4183593	"(kidneyfn==3)"
"0.suppression"	-.67816217	"(suppression==0)"
"0.smi"	-.87593594	"(smi==0)"
"4.obesecat#c.agec"	.11812913	"(obesecat==4)*agec"
"5.obesecat#c.agec"	-.0305476	"(obesecat==5)*agec"
"3.smoke_nomiss#c.agec"	-.01385671	"(smoke_nomiss==3)*agec"
"1.hypertension#c.agec"	-.01794145	"(hypertension==1)*agec"
"3.diabcat#c.agec"	.00764207	"(diabcat==3)*agec"
"1.neuro#c.agec"	-.64409938	"(neuro==1)*agec"
"1.respiratory#c.agec"	-.34465307	"(respiratory==1)*agec"
"2.cancerHaem#c.agec"	.08282328	"(cancerHaem==2)*agec"
"1.liver#c.agec"	-.56055876	"(liver==1)*agec"
"1.dialysis#c.agec"	.23492099	"(dialysis==1)*agec"
"3.kidneyfn#c.agec"	-1.045347	"(kidneyfn==3)*agec"
"1.spleen#c.agec"	-.01255222	"(spleen==1)*agec"
"1.ibd#c.agec"	.10061895	"(ibd==1)*agec"
"1.fracture#c.agec"	.22594143	"(fracture==1)*agec"
"1bn.male#5.imd"	-.03187325	"(male==1)*(imd==5)"
"0.male#5.obesecat"	.59039445	"(male==0)*(obesecat==5)"
"1bn.male#3.diabcat"	.30503464	"(male==1)*(diabcat==3)"
"0.male#1.cardiac"	.27161607	"(male==0)*(cardiac==1)"
"0.male#1.af"	.18031578	"(male==0)*(af==1)"
"1bn.male#1.pad"	.53796227	"(male==1)*(pad==1)"
"1bn.male#1.stroke"	.0510071	"(male==1)*(stroke==1)"
"1bn.male#1.dementia"	.0985524	"(male==1)*(dementia==1)"
"0.male#2.asthmacat"	.07099958	"(male==0)*(asthmacat==2)"
"0.male#1.respiratory"	.21306857	"(male==0)*(respiratory==1)"
"0.male#2bn.cancerExhaem"	.56244126	"(male==0)*(cancerExhaem==2)"
"1bn.male#3.cancerExhaem"	.21445465	"(male==1)*(cancerExhaem==3)"
"1bn.male#4.cancerExhaem"	.07193651	"(male==1)*(cancerExhaem==4)"
"0.male#2.cancerHaem"	.19617796	"(male==0)*(cancerHaem==2)"
"1bn.male#4.cancerHaem"	-.59610176	"(male==1)*(cancerHaem==4)"
"0.male#1.liver"	.35687513	"(male==0)*(liver==1)"
"0.male#1.dialysis"	.55817366	"(male==0)*(dialysis==1)"
"0.male#3.kidneyfn"	.20682889	"(male==0)*(kidneyfn==3)"
"1bn.male#2.kidneyfn"	-.05600584	"(male==1)*(kidneyfn==2)"
"1bn.male#1.autoimmune"	.11099511	"(male==1)*(autoimmune==1)"
"1bn.male#1.fracture"	.44288179	"(male==1)*(fracture==1)"
