CTV3ID,CTV3_Description,CodeType
2432,O/E - pulse irregularly irreg.,Non_Numeric_Code
3272,ECG: atrial fibrillation,Non_Numeric_Code
3273,ECG: atrial flutter,Non_Numeric_Code
7936A,Implant intravenous pacemaker for atrial fibrillation,Non_Numeric_Code
G573.,Atrial fibrillation and flutter,Non_Numeric_Code
G5730,Atrial fibrillation,Non_Numeric_Code
G5731,Atrial flutter,Non_Numeric_Code
G573z,Atrial fibrillation and flutter NOS,Non_Numeric_Code
X202R,Lone atrial fibrillation,Non_Numeric_Code
X202S,Non-rheumatic atrial fibrillation,Non_Numeric_Code
XE0Wk,(Atrial fibrillation) or (atrial flutter),Non_Numeric_Code
Xa2E8,Paroxysmal atrial fibrillation,Non_Numeric_Code
Xa7nI,Controlled atrial fibrillation,Non_Numeric_Code
XaDv6,H/O: atrial fibrillation,Non_Numeric_Code
XaEga,Rapid atrial fibrillation,Non_Numeric_Code
XaIIT,Atrial fibrillation monitoring,Non_Numeric_Code
XaLFi,Except from atr fib quality indicators: Patient unsuitable,Non_Numeric_Code
XaLFj,Excepted from atrial fibrillation qual indic: Inform dissent,Non_Numeric_Code
XaMDH,Atrial fibrillation monitoring second letter,Non_Numeric_Code
XaMGD,Atrial fibrillation annual review,Non_Numeric_Code
XaOfa,Persistent atrial fibrillation,Non_Numeric_Code
XaOft,Permanent atrial fibrillation,Non_Numeric_Code
XaP9J,"Cong heart fail, hypertens, age, diab, stroke 2 risk score",Numeric_Code
XaP9J,"Cong heart fail, hypertens, age, diab, stroke 2 risk score",Numeric_Value
